사업장명,도로명전체주소,위생업태명,양실수,한실수,위도,경도
유성 당근 호텔,"대전광역시 유성구 온천로 22, 지상2층 (봉명동)",일반호텔,16,0,36.3549374,127.3450624
동성모텔,대전광역시 중구 당디로124번길 38 (유천동),여관업,25,1,36.3162468,127.3926726
고래하우스,"대전광역시 중구 목척8길 11, 3층 (은행동)",숙박업 기타,5,0,36.3295952,127.4264845
스타웍스호텔,"대전광역시 서구 둔산로73번길 30, 2~15층 (둔산동)",숙박업(생활),154,0,36.3524223,127.3819663
스카이빌,대전광역시 중구 문창로 109-9 (대흥동),숙박업(생활),4,11,36.3160659,127.4338853
루체스타리치먼드시티1,"대전광역시 유성구 계룡로141번길 30-1, 지상2층~지상20층 229객실(201호 외 228객실) (봉명동)",숙박업(생활),229,0,36.3538733,127.346488
둔산스테이어반,"대전광역시 서구 둔산로73번길 38, 스테이어반 2~18층 (둔산동)",숙박업(생활),346,0,36.3524223,127.3819663
봉쥬르카운티,"대전광역시 서구 둔산중로64번길 25, 2~15층 (둔산동)",숙박업(생활),93,0,36.3526,127.3883
Time Terminal Hotel,"대전광역시 동구 동서대로1683번길 76-7, 지하1층 ~ 6층 (용전동)",관광호텔,42,0,36.3524766,127.435556
봉쥬르카운티2,"대전광역시 서구 둔산로65번길 24, 봉쥬르카운티2 2층~20층 (둔산동)",숙박업(생활),133,0,36.3509036,127.3811509
주식회사 은하수디앤엠(D&M),"대전광역시 유성구 계룡로141번길 13-5, 지상1층 접객대 및 지상5, 7, 8~16층 일부(23객실) (봉명동)",숙박업(생활),23,0,36.3538733,127.346488
루체스타 리치먼드시티,"대전광역시 유성구 계룡로141번길 30-1, 지상 2~20층 일부(124개)호 (봉명동)",숙박업(생활),124,0,36.3538733,127.346488
메종 팰리스 대전,"대전광역시 동구 창조3길 15, 2~8층 (정동)",숙박업(생활),50,0,36.3281325,127.4359107
로망스Ⅱ,대전광역시 동구 동서대로 1699-20 (용전동),여관업,17,3,36.3458005,127.4298745
아늑호텔대전대흥점,"대전광역시 중구 대종로460번길 11, 2,3,4층 (대흥동)",일반호텔,22,0,36.3266754,127.429868
호모텔,"대전광역시 동구 한밭대로1316번길 17, 1~4층 (용전동)",여관업,18,0,36.3515188,127.439411
호텔디에디션,"대전광역시 서구 둔산남로91번길 13, 호텔 디 에디션 3층~13층 (둔산동)",일반호텔,140,0,36.3501274,127.3876838
베가시티,"대전광역시 유성구 계룡로141번길 13-5, 지상1, 3~15(일부)층, 33개호실 (봉명동)",숙박업(생활),33,0,36.3538733,127.346488
피닉스모텔,대전광역시 대덕구 중리로7번길 14-23 (중리동),여관업,43,0,36.3597079,127.4230059
더휴식아늑 유성2호점,"대전광역시 유성구 계룡로123번길 36, 지상1~6층 (봉명동)",일반호텔,38,0,36.3549374,127.3450624
위너팰리스,"대전광역시 서구 둔산중로64번길 26, 위너펠리스 3층~15층 (둔산동)",숙박업(생활),0,77,36.3523,127.3883
주식회사 신세계센트럴시티 호텔 오노마,"대전광역시 유성구 엑스포로 1, 신세계 엑스포점 (도룡동)",관광호텔,171,0,36.3750009,127.3832953
장수여인숙,대전광역시 동구 선화로214번길 67-2 (정동),여인숙업,5,0,36.3324,127.4315
원호텔,"대전광역시 유성구 온천서로 22-6, 지상5,6,7,8층 (봉명동)",숙박업 기타,43,0,36.3573221,127.3394849
상원빌,"대전광역시 중구 중앙로109번길 43, 2,3,4층 (선화동)",숙박업(생활),21,0,36.3287385,127.4214893
스테이준,"대전광역시 중구 대흥로165번길 36, 2층일부, 4~6층 (대흥동)",숙박업(생활),0,37,36.3258287,127.429728
한빛타운,"대전광역시 중구 중앙로121번길 49-7, 1~4층 (선화동, 한빛타운)",숙박업(생활),0,26,36.3291507,127.4226446
호텔스카이파크대전1호점,"대전광역시 유성구 테크노중앙로 161, 호텔 스카이파크 숙박시설동 지하1~7층 (용산동)",관광호텔,100,0,36.4247613,127.3981546
퀸스타운,"대전광역시 유성구 계룡로105번길 74, 지상2~5층 (봉명동)",여관업,48,1,36.3566,127.3441
세도나모텔,대전광역시 대덕구 한밭대로1129번길 30 (중리동),여관업,28,0,36.3619269,127.4238253
동백장,대전광역시 동구 선화로196번길 44-3 (중동),여관업,8,1,36.3318618,127.4291991
라마다대전호텔,"대전광역시 유성구 계룡로 127, 지상2~15층 (봉명동)",일반호텔,222,0,36.3535447,127.3417308
다연하우스,"대전광역시 중구 목척8길 45, 1~3층 (은행동)",숙박업(생활),18,0,36.3295952,127.4264845
아름드리,"대전광역시 중구 대종로505번길 56, 2~5층 (선화동)",숙박업(생활),20,0,36.3288321,127.4237966
레지던스호텔라인,"대전광역시 서구 둔산로51번길 76, 2층~12층 (둔산동)",숙박업(생활),118,0,36.3534803,127.3803531
스토리,"대전광역시 동구 대전로839번길 27, 태웅관광호텔 (정동)",여관업,28,2,36.3334128,127.429336
태양빌,"대전광역시 중구 보문로262번길 30, 2~4층 (대흥동)",숙박업(생활),15,,36.3264689,127.422966
그랜드캐슬,"대전광역시 서구 문정로89번길 33, 그랜드캐슬 3~15층 (탄방동)",숙박업(생활),103,0,36.3478627,127.3892439
힐링 모텔,대전광역시 대덕구 중리로21번길 17 (중리동),숙박업(생활),21,0,36.3619512,127.4248381
스테이아야나(STAY AYANA),대전광역시 대덕구 덕암로148번길 30 (상서동),여관업,26,0,36.4331134,127.4225095
잉카모텔,대전광역시 동구 대전천동로 570 (중동),여관업,73,0,36.3274158,127.4317941
나루무인텔,대전광역시 대덕구 신탄진동로7번길 24 (신탄진동),여관업,37,0,36.449223,127.4299318
프린스빌,"대전광역시 중구 선화로 126-7, 2~3층 (선화동)",숙박업(생활),0,3,36.324109,127.4114682
아가페,"대전광역시 중구 대종로452번길 30, 2~6층 (대흥동)",숙박업(생활),35,0,36.3258287,127.429728
플러스빌(plus ville),"대전광역시 동구 동서대로 1699-14, 1,2,3층 (용전동)",숙박업(생활),19,0,36.3458005,127.4298745
호텔썸,대전광역시 중구 문창로102번길 22 (문창동),여관업,28,0,36.3224315,127.4329276
리츠빌,"대전광역시 중구 목척4길 47, 3~4층 (은행동)",숙박업(생활),17,0,36.3304827,127.4247721
호텔 스탕달,"대전광역시 유성구 온천북로 14, 지상1, 3~13층 (봉명동)",숙박업(생활),70,0,36.3567849,127.3467595
플러스,"대전광역시 유성구 계룡로105번길 76, 지상1~9층 (봉명동)",여관업,30,0,36.3567,127.344
호텔3월,"대전광역시 서구 둔산중로32번길 29, 1~9층 (둔산동)",일반호텔,49,0,36.349489,127.3888784
초롱하우스,"대전광역시 중구 대종로517번길 39, 2~3층 (선화동)",숙박업(생활),0,11,36.3296795,127.4237497
투무인텔,대전광역시 동구 물류로13번길 63 (구도동),여관업,26,0,36.2720509,127.4695487
더에이치,대전광역시 대덕구 신탄진동로23번길 58 (신탄진동),여관업,31,0,36.4494771,127.4315036
대전나무호텔,대전광역시 유성구 온천서로 30-6 (봉명동),숙박업 기타,47,2,36.3573221,127.3394849
만인산,대전광역시 동구 물류로13번길 7 (구도동),여관업,35,0,36.2720509,127.4695487
약수장,대전광역시 동구 동서대로1683번길 46-11 (용전동),여관업,24,8,36.3524766,127.435556
호텔7,대전광역시 중구 문창로90번길 8 (문창동),여관업,14,0,36.321847,127.4342998
크리스탈레지던스호텔,대전광역시 중구 대종로452번길 38 (대흥동),숙박업(생활),38,10,36.3258287,127.429728
썸무인텔,"대전광역시 서구 계룡로636번길 24, 1~6층동 (용문동)",숙박업 기타,41,0,36.3394122,127.3907908
나봄호텔 주식회사,"대전광역시 유성구 테크노중앙로 69 (관평동, 지상1층, 3~10층)",관광호텔,75,0,36.4258888,127.3932954
마치호텔,"대전광역시 서구 둔산중로64번길 20, 2~12층 (둔산동)",숙박업(생활),128,0,36.3523,127.388
리스보아모텔,대전광역시 동구 동서대로1705번길 52 (용전동),여관업,47,0,36.3506668,127.4385353
