사업장명,도로명전체주소,위생업태명,영업장주변구분명,시설총규모,위도,경도
37네안클럽(37NGHEANCLUB),"대전광역시 중구 중앙로170번길 23, 3층 (은행동)",단란주점,기타,114.14,36.3283721,127.4292386
호박단란주점,"대전광역시 중구 대종로386번길 89, 지하1층 (문창동)",단란주점,기타,99.49,36.3207914,127.4337158
야놀자7080,"대전광역시 대덕구 한밭대로 1149, 5층 (중리동)",단란주점,학교정화(상대),103.95,36.3571567,127.4067619
오아시스 단란주점,"대전광역시 동구 동서대로1683번길 76-13, 2층 (용전동)",단란주점,기타,90.16,36.3524766,127.435556
탑 노래바,"대전광역시 유성구 온천북로33번길 21-12, 지상2층 202호 (봉명동)",단란주점,기타,130.83,36.3578011,127.3469792
부킹7080,"대전광역시 중구 계백로 1715, 2동 401호 (오류동)",단란주점,기타,103.37,36.3162871,127.3894402
킹라이온클럽(CLUB),"대전광역시 중구 중앙로130번길 35, 지하1층 (대흥동)",단란주점,학교정화(상대),210.62,36.3271322,127.424748
스타,"대전광역시 중구 계백로 1725-22, 104호 (오류동, 크럭스빌주상복합)",단란주점,기타,98.83,36.3162871,127.3894402
세븐노래바,"대전광역시 유성구 온천북로33번길 21-30, 지상4층 (봉명동)",단란주점,기타,93.09,36.3578011,127.3469792
라이브 7080 유성,"대전광역시 유성구 계룡로74번길 15, 지하1층 (봉명동)",단란주점,유흥업소밀집지역,89.53,36.3522697,127.3382961
어게인노래하고술마시는퓨전마차,"대전광역시 중구 대흥로175번길 40, 1층 (대흥동)",단란주점,,153.22,36.326215,127.4307624
밸리단란주점,"대전광역시 유성구 테크노중앙로 54, 지상5층 (관평동)",단란주점,,34.96,36.42607655,127.3913503
오케이7080,"대전광역시 중구 계룡로882번길 59, 2층 (오류동)",단란주점,,112.48,36.3214909,127.4065376
수 단란주점,"대전광역시 서구 용문로 41-88, 2층 일부호 (괴정동)",단란주점,기타,69.52,36.3386328,127.3897359
투맨,"대전광역시 중구 대전천서로 419-11, 1층 (대흥동)",단란주점,기타,115.07,36.3164771,127.4383812
뉴오페라,"대전광역시 중구 대흥로175번길 36, 2층 (대흥동)",단란주점,기타,66.84,36.326215,127.4307624
두리노래바,"대전광역시 유성구 대학로 48-13, 3층 (봉명동)",단란주점,,142.39,36.3608144,127.3440842
킹스,대전광역시 중구 대흥로175번길 34 (대흥동),단란주점,기타,130.85,36.326215,127.4307624
콜단란주점,"대전광역시 유성구 온천북로33번길 21-21, GT타워 2층 210호 (봉명동)",단란주점,유흥업소밀집지역,59.16,36.3578374,127.3456548
쏠단란주점,"대전광역시 유성구 온천북로33번길 21-4, 스타트타워 3층 202호 (봉명동)",단란주점,유흥업소밀집지역,90.28,36.3578011,127.3469792
젬단란주점,"대전광역시 유성구 온천북로13번길 21, 스카이뷰시티 213,214호 (봉명동)",단란주점,유흥업소밀집지역,112.59,36.3584215,127.3448354
엔터,"대전광역시 중구 대흥로175번길 41, 2층 (대흥동)",단란주점,,139.3,36.326215,127.4307624
에이스단란주점,"대전광역시 유성구 관평2로 7-3, 6층 (관평동)",단란주점,기타,35.85,36.425685,127.3912941
스타노래바,"대전광역시 유성구 온천북로33번길 21-26, 2층 (봉명동)",단란주점,,110.35,36.3578011,127.3469792
뽀뽀,대전광역시 중구 대종로452번길 28 (대흥동),단란주점,기타,60.2,36.3258287,127.429728
비앤비7080,"대전광역시 중구 오류로 19, 4층 (오류동)",단란주점,기타,103.8,36.3214703,127.4042701
오퍼스,"대전광역시 서구 둔산남로 97, 지하1층 (둔산동)",단란주점,,310.73,36.3490151,127.4019283
터미널7080,"대전광역시 동구 동서대로1695번길 59, 2층 (용전동)",단란주점,기타,138.12,36.3531482,127.4371511
부비부비 비비고 7080,"대전광역시 동구 대흥로 199, 2층 (원동)",단란주점,기타,148.6,36.3263031,127.4338873
썬,"대전광역시 중구 계백로 1705-11, 2층 (오류동)",단란주점,,89.52,36.3162871,127.3894402
퍼시픽,"대전광역시 중구 중교로 83-2, 3층 (은행동)",단란주점,,98.09,36.3258958,127.4254577
퍼스트,"대전광역시 중구 대흥로165번길 40, 지하1층 (대흥동)",단란주점,기타,107.52,36.3258287,127.429728
맘모스7080,"대전광역시 동구 태전로 3, 2층 (중동)",단란주점,기타,333.34,36.3369143,127.4257551
고맹달7080,"대전광역시 동구 대전천동로 456, 2층 (인동)",단란주점,기타,64,36.3274158,127.4317941
킹,"대전광역시 유성구 문화원로 150, 3층 302호 (봉명동, (봉명프라자))",단란주점,,116.03,36.3612376,127.3384993
봉명,"대전광역시 유성구 온천로 34, 지상8층 (봉명동)",단란주점,유흥업소밀집지역,458.62,36.3549374,127.3450624
명품단란주점,"대전광역시 중구 계백로 1715, 2동 3층 (오류동)",단란주점,기타,46.28,36.3162871,127.3894402
수단란주점,"대전광역시 유성구 온천북로13번길 32, 3층 (봉명동)",단란주점,유흥업소밀집지역,114.97,36.3584215,127.3448354
노라조7080,"대전광역시 대덕구 중리로 16, 2층 (중리동)",단란주점,학교정화(상대),114.49,36.3629452,127.4252219
별이빛나는 밤에,"대전광역시 유성구 온천로 48, 지상2층 (봉명동)",단란주점,유흥업소밀집지역,115.45,36.3549374,127.3450624
