사업장명,도로명전체주소,위생업태명,영업장주변구분명,시설총규모,위도,경도
은하수,"대전광역시 유성구 온천로 36, 지하1층 (봉명동)",노래클럽,유흥업소밀집지역,142.93,36.3556408,127.3395954
만남노래하는밤술마시는밤,"대전광역시 중구 대흥로175번길 40, 지하1층 (대흥동)",노래클럽,,130,36.326215,127.4307624
나이스,"대전광역시 유성구 대학로 8, 시네마E텔 지상2층 (봉명동)",룸살롱,유흥업소밀집지역,376.2,36.3740741,127.3781724
타이밍,"대전광역시 유성구 대학로 8, 시네마E텔 지상2층 (봉명동)",룸살롱,유흥업소밀집지역,173.77,36.3740741,127.3781724
명품노래장,대전광역시 중구 선화로 134 (선화동),노래클럽,,76.07,36.324109,127.4114682
봉명나이트,"대전광역시 유성구 온천로 34, 지상8층 (봉명동)",노래클럽,유흥업소밀집지역,75.37,36.3549374,127.3450624
초코렛,"대전광역시 유성구 온천서로 22-6, 지하1층 (봉명동)",룸살롱,유흥업소밀집지역,292.4,36.3573221,127.3394849
궁노래클럽,"대전광역시 대덕구 중리로7번길 6-20, 지하층 (중리동)",노래클럽,학교정화(상대),91.24,36.3597079,127.4230059
신탄진스텐드바,"대전광역시 대덕구 신탄진동로23번길 51, 2층 (신탄진동)",스텐드바,유흥업소밀집지역,99.32,36.4500892,127.4312395
해운대,"대전광역시 유성구 온천서로 22-6, 지상4층 (봉명동, 남산타워)",룸살롱,유흥업소밀집지역,322.12,36.3573221,127.3394849
케이케이7080,"대전광역시 대덕구 신탄진동로23번길 17, 2층 (신탄진동)",스텐드바,기타,229.17,36.4494771,127.4315036
논다노래타운대흥점,"대전광역시 중구 보문로260번길 45, 2층 (대흥동)",노래클럽,,299.55,36.3264636,127.4241381
애플호프주점,대전광역시 유성구 온천로 48 (봉명동),룸살롱,유흥업소밀집지역,57.44,36.3549374,127.3450624
스머프,"대전광역시 유성구 온천서로 2, 4층 (봉명동)",룸살롱,,469.41,36.3573221,127.3394849
쿤노래타운,"대전광역시 대덕구 신탄진로810번길 14, 2층 (신탄진동)",룸살롱,,176,36.4498086,127.4300513
베스트라이브7080,대전광역시 중구 대흥로 7 (문화동),기타,기타,188.26,36.3238249,127.4266645
올레노래클럽,"대전광역시 중구 대종로529번길 39, 지하1층 (선화동)",기타,,91.96,36.3302493,127.4220182
스카이23가요주점,"대전광역시 유성구 대학로 31, 23층 (봉명동, 한진오피스텔)",룸살롱,유흥업소밀집지역,180.45,36.3740741,127.3781724
준코뮤직타운은행점,"대전광역시 중구 중앙로 149, 지하1층 (은행동)",기타,,717.48,36.323002,127.4165941
마징가,"대전광역시 유성구 온천로 22, 지상4층 (봉명동)",룸살롱,,270.22,36.3549374,127.3450624
뭉크주점,"대전광역시 동구 동서대로1695번길 64, 2층 (용전동)",룸살롱,유흥업소밀집지역,273.46,36.3531482,127.4371511
선샤인,대전광역시 동구 동서대로 1700 (가양동),룸살롱,결혼예식장주변,192.12,36.3458005,127.4298745
수 가요주점,"대전광역시 유성구 온천북로 8, 지상1층 (봉명동)",룸살롱,유흥업소밀집지역,189.99,36.3567849,127.3467595
알라딘,"대전광역시 유성구 온천서로 2, 5층 (봉명동, 럭키타워1동)",룸살롱,유흥업소밀집지역,464.33,36.3573221,127.3394849
올스타,"대전광역시 동구 중앙로203번길 6, 2층 (중동)",룸살롱,기타,81.82,36.3328297,127.4303256
나는가수다,"대전광역시 대덕구 신탄진로810번길 12, 3층 (신탄진동)",스텐드바,,186.26,36.4497745,127.4299137
홍,"대전광역시 유성구 문화원로 116, 지상2층 (봉명동)",룸살롱,유흥업소밀집지역,254.1,36.3612376,127.3384993
제우스노래마당,"대전광역시 대덕구 신탄진로796번길 8 (신탄진동,(2층))",룸살롱,,135.98,36.4491868,127.4330504
왕과비,"대전광역시 서구 도산로369번길 42-1 (용문동,(2,3층))",룸살롱,유흥업소밀집지역,119.81,36.3389863,127.3902156
강남스타일노래방주점,대전광역시 동구 동서대로1695번길 76 (용전동),룸살롱,,440.13,36.3531482,127.4371511
스타노래궁,대전광역시 대덕구 신탄진동로23번길 지하 55 (신탄진동),룸살롱,,131.56,36.4494771,127.4315036
이클립스,"대전광역시 유성구 계룡로141번길 29-25, 6층 (봉명동)",룸살롱,,355.65,36.3538733,127.346488
힐링노래주점,"대전광역시 대덕구 중리로21번길 17, 지하층 (중리동)",기타,,111.74,36.3619512,127.4248381
세븐나이트,"대전광역시 중구 당디로 112, 1층 (유천동)",룸살롱,유흥업소밀집지역,335.71,36.3083824,127.3936335
투앤투가요주점,"대전광역시 대덕구 신탄진로810번길 34 (신탄진동,(2층))",룸살롱,,71.98,36.45000685,127.431095
파타야,"대전광역시 유성구 한밭대로492번길 16-26, 지하1층 (봉명동)",룸살롱,기타,240.7,36.3589169,127.3530587
딩기딩기 술 노래클럽,"대전광역시 유성구 계룡로113번길 57 (봉명동, 지하1층)",룸살롱,,123.73,36.3550665,127.3440883
필,대전광역시 중구 대종로460번길 28 (대흥동),룸살롱,,149.6,36.3266754,127.429868
강변7080,"대전광역시 중구 보문로260번길 27, 지하1층 (대흥동)",룸살롱,유흥업소밀집지역,177.26,36.3264636,127.4241381
