datetime,WS,TEMP,HUMI,RN
202303020000,2.0,2.1,38.0,-9.0
202303020100,3.2,2.0,40.0,-9.0
202303020200,3.5,1.7,42.0,-9.0
202303020300,3.6,1.1,42.0,-9.0
202303020400,3.6,0.6,31.0,-9.0
202303020500,4.4,0.1,28.0,-9.0
202303020600,2.2,-0.8,27.0,-9.0
202303020700,2.1,-1.4,31.0,-9.0
202303020800,1.9,0.4,26.0,-9.0
202303020900,3.8,2.1,21.0,-9.0
202303021000,2.7,3.1,18.0,-9.0
202303021100,4.0,3.9,17.0,-9.0
202303021200,3.3,4.8,18.0,-9.0
202303021300,3.3,6.3,16.0,-9.0
202303021400,2.7,6.5,16.0,-9.0
202303021500,3.1,7.0,14.0,-9.0
202303021600,3.5,7.5,15.0,-9.0
202303021700,3.0,6.4,13.0,-9.0
202303021800,4.0,4.6,15.0,-9.0
202303021900,3.5,3.0,23.0,-9.0
202303022000,1.5,1.4,26.0,-9.0
202303022100,0.5,0.6,30.0,-9.0
202303022200,1.4,-0.1,34.0,-9.0
202303022300,0.4,-0.3,35.0,-9.0
202303030000,1.6,-0.8,40.0,-9.0
202303030100,2.0,-1.4,44.0,-9.0
202303030200,0.1,-2.1,48.0,-9.0
202303030300,0.0,-2.6,50.0,-9.0
202303030400,0.9,-3.2,54.0,-9.0
202303030500,0.9,-3.5,53.0,-9.0
202303030600,0.0,-3.6,56.0,-9.0
202303030700,0.1,-4.1,59.0,-9.0
202303030800,0.0,-2.3,57.0,-9.0
202303030900,0.6,0.7,44.0,-9.0
202303031000,1.6,3.5,37.0,-9.0
202303031100,2.5,6.4,34.0,-9.0
202303031200,2.3,8.7,26.0,-9.0
202303031300,2.8,10.9,22.0,-9.0
202303031400,4.1,11.7,22.0,-9.0
202303031500,3.2,12.0,23.0,-9.0
202303031600,2.0,12.6,23.0,-9.0
202303031700,2.7,11.6,26.0,-9.0
202303031800,2.4,9.5,35.0,-9.0
202303031900,2.1,7.5,45.0,-9.0
202303032000,2.2,6.2,53.0,-9.0
202303032100,1.8,5.2,58.0,-9.0
202303032200,2.0,4.3,64.0,-9.0
202303032300,1.7,3.5,71.0,-9.0
202303040000,1.9,3.3,75.0,-9.0
202303040100,1.6,1.6,73.0,-9.0
202303040200,0.3,1.5,74.0,-9.0
202303040300,1.4,1.2,78.0,-9.0
202303040400,0.0,1.0,79.0,-9.0
202303040500,0.0,0.6,80.0,-9.0
202303040600,0.0,0.1,82.0,-9.0
202303040700,0.0,-0.4,85.0,-9.0
202303040800,0.0,0.3,82.0,-9.0
202303040900,0.0,3.6,74.0,-9.0
202303041000,1.9,5.5,63.0,-9.0
202303041100,2.3,7.7,57.0,-9.0
202303041200,1.8,9.1,52.0,-9.0
202303041300,1.3,11.1,45.0,-9.0
202303041400,0.9,12.4,35.0,-9.0
202303041500,1.7,13.3,31.0,-9.0
202303041600,0.9,13.3,30.0,-9.0
202303041700,1.5,13.4,25.0,-9.0
202303041800,1.3,11.7,31.0,-9.0
202303041900,1.9,9.3,41.0,-9.0
202303042000,0.0,8.2,41.0,-9.0
202303042100,0.0,7.3,35.0,-9.0
202303042200,0.0,6.7,36.0,-9.0
202303042300,1.4,5.8,38.0,-9.0
202303050000,0.0,4.7,43.0,-9.0
202303050100,1.7,3.2,50.0,-9.0
202303050200,0.0,2.4,51.0,-9.0
202303050300,0.0,1.9,55.0,-9.0
202303050400,0.0,0.8,59.0,-9.0
202303050500,0.0,0.3,62.0,-9.0
202303050600,0.0,0.1,63.0,-9.0
202303050700,0.0,-0.5,65.0,-9.0
202303050800,0.0,0.3,66.0,-9.0
202303050900,0.0,3.8,56.0,-9.0
202303051000,0.0,6.7,47.0,-9.0
202303051100,1.4,9.7,43.0,-9.0
202303051200,1.7,13.4,37.0,-9.0
202303051300,1.8,14.6,26.0,-9.0
202303051400,1.4,16.3,23.0,-9.0
202303051500,2.9,16.2,23.0,-9.0
202303051600,2.1,16.7,18.0,-9.0
202303051700,2.1,15.8,20.0,-9.0
202303051800,1.3,14.1,26.0,-9.0
202303051900,2.7,11.5,28.0,-9.0
202303052000,1.2,9.8,30.0,-9.0
202303052100,1.4,8.8,28.0,-9.0
202303052200,0.9,7.7,28.0,-9.0
202303052300,1.5,5.9,38.0,-9.0
202303060000,0.0,4.7,40.0,-9.0
202303060100,0.8,3.7,44.0,-9.0
202303060200,0.5,2.8,48.0,-9.0
202303060300,0.2,2.1,51.0,-9.0
202303060400,0.4,1.5,53.0,-9.0
202303060500,0.0,0.5,55.0,-9.0
202303060600,0.0,0.1,59.0,-9.0
202303060700,0.0,-0.3,63.0,-9.0
202303060800,0.1,0.8,60.0,-9.0
202303060900,0.0,4.3,53.0,-9.0
202303061000,0.9,7.8,43.0,-9.0
202303061100,2.0,11.7,30.0,-9.0
202303061200,2.6,14.6,17.0,-9.0
202303061300,4.5,15.2,19.0,-9.0
202303061400,3.8,16.3,17.0,-9.0
202303061500,4.7,16.5,14.0,-9.0
202303061600,2.3,17.3,14.0,-9.0
202303061700,2.6,15.1,17.0,-9.0
202303061800,2.3,13.4,22.0,-9.0
202303061900,0.7,11.3,25.0,-9.0
202303062000,2.1,10.5,33.0,-9.0
202303062100,2.2,9.4,37.0,-9.0
202303062200,2.5,8.7,48.0,-9.0
202303062300,0.0,7.1,50.0,-9.0
202303070000,0.0,5.8,56.0,-9.0
202303070100,0.0,5.0,55.0,-9.0
202303070200,0.0,4.7,58.0,-9.0
202303070300,0.0,4.1,61.0,-9.0
202303070400,0.0,3.6,63.0,-9.0
202303070500,0.0,3.9,67.0,-9.0
202303070600,0.0,3.7,64.0,-9.0
202303070700,0.0,3.6,65.0,-9.0
202303070800,0.0,4.3,65.0,-9.0
202303070900,0.0,7.8,53.0,-9.0
202303071000,0.7,11.1,40.0,-9.0
202303071100,2.4,16.0,30.0,-9.0
202303071200,3.8,17.7,29.0,-9.0
202303071300,3.2,19.3,28.0,-9.0
202303071400,3.8,20.4,27.0,-9.0
202303071500,4.7,20.0,22.0,-9.0
202303071600,4.1,19.0,24.0,-9.0
202303071700,3.5,17.9,28.0,-9.0
202303071800,2.1,16.4,31.0,-9.0
202303071900,2.2,15.2,32.0,-9.0
202303072000,2.5,14.0,38.0,-9.0
202303072100,2.2,13.3,37.0,-9.0
202303072200,2.4,13.0,37.0,-9.0
202303072300,3.1,13.1,36.0,-9.0
202303080000,2.4,12.3,36.0,-9.0
202303080100,1.9,12.0,35.0,-9.0
202303080200,2.6,12.2,34.0,-9.0
202303080300,1.6,10.2,40.0,-9.0
202303080400,1.9,8.6,47.0,-9.0
202303080500,0.0,8.4,45.0,-9.0
202303080600,0.0,7.8,46.0,-9.0
202303080700,0.3,8.4,43.0,-9.0
202303080800,0.9,9.4,45.0,-9.0
202303080900,3.7,14.3,27.0,-9.0
202303081000,4.1,16.3,23.0,-9.0
202303081100,6.1,17.7,21.0,-9.0
202303081200,2.2,19.3,21.0,-9.0
202303081300,1.8,20.6,18.0,-9.0
202303081400,2.8,20.6,16.0,-9.0
202303081500,3.5,20.5,19.0,-9.0
202303081600,1.5,20.7,20.0,-9.0
202303081700,1.7,20.0,23.0,-9.0
202303081800,2.6,17.8,29.0,-9.0
202303081900,0.8,16.1,33.0,-9.0
202303082000,0.0,14.7,38.0,-9.0
202303082100,0.0,14.2,44.0,-9.0
202303082200,0.0,12.8,46.0,-9.0
202303082300,0.0,12.1,50.0,-9.0
202303090000,1.4,11.8,53.0,-9.0
202303090100,0.0,12.0,54.0,-9.0
202303090200,1.8,11.8,56.0,-9.0
202303090300,1.1,11.3,62.0,-9.0
202303090400,0.0,10.5,66.0,-9.0
202303090500,1.4,10.1,68.0,-9.0
202303090600,0.0,10.5,72.0,-9.0
202303090700,3.2,10.8,71.0,-9.0
202303090800,2.3,12.7,68.0,-9.0
202303090900,2.5,13.8,67.0,-9.0
202303091000,3.6,15.1,63.0,-9.0
202303091100,2.7,16.8,59.0,-9.0
202303091200,2.5,17.6,55.0,-9.0
202303091300,2.2,18.7,50.0,-9.0
202303091400,3.2,19.1,44.0,-9.0
202303091500,4.7,19.2,45.0,-9.0
202303091600,2.5,19.6,39.0,-9.0
202303091700,1.4,19.1,41.0,-9.0
202303091800,1.8,16.5,46.0,-9.0
202303091900,1.5,14.9,48.0,-9.0
202303092000,1.9,13.4,36.0,-9.0
202303092100,0.0,12.6,45.0,-9.0
202303092200,2.0,11.4,62.0,-9.0
202303092300,0.0,10.1,65.0,-9.0
202303100000,0.0,9.4,66.0,-9.0
202303100100,0.0,8.5,67.0,-9.0
202303100200,0.0,7.7,75.0,-9.0
202303100300,0.0,6.6,79.0,-9.0
202303100400,0.0,5.9,77.0,-9.0
202303100500,0.0,5.3,78.0,-9.0
202303100600,0.0,4.8,82.0,-9.0
202303100700,0.0,4.2,85.0,-9.0
202303100800,0.0,5.6,82.0,-9.0
202303100900,0.0,8.9,69.0,-9.0
202303101000,0.0,12.1,50.0,-9.0
202303101100,0.0,15.4,37.0,-9.0
202303101200,0.6,19.7,24.0,-9.0
202303101300,1.9,22.5,11.0,-9.0
202303101400,2.5,23.7,11.0,-9.0
202303101500,3.2,23.8,16.0,-9.0
202303101600,1.6,23.4,21.0,-9.0
202303101700,1.5,22.7,24.0,-9.0
202303101800,1.3,21.4,27.0,-9.0
202303101900,2.4,19.2,24.0,-9.0
202303102000,1.4,17.4,35.0,-9.0
202303102100,2.6,15.9,41.0,-9.0
202303102200,1.3,15.3,43.0,-9.0
202303102300,0.0,14.4,45.0,-9.0
202303110000,1.8,13.2,49.0,-9.0
202303110100,0.0,12.0,52.0,-9.0
202303110200,0.0,11.6,52.0,-9.0
202303110300,0.0,10.6,57.0,-9.0
202303110400,0.0,9.6,61.0,-9.0
202303110500,0.6,8.9,66.0,-9.0
202303110600,0.0,8.0,69.0,-9.0
202303110700,0.8,7.8,70.0,-9.0
202303110800,0.3,8.7,67.0,-9.0
202303110900,0.0,12.5,55.0,-9.0
202303111000,1.5,15.7,43.0,-9.0
202303111100,2.2,20.7,23.0,-9.0
202303111200,3.6,22.6,14.0,-9.0
202303111300,3.7,23.2,13.0,-9.0
202303111400,2.5,24.6,11.0,-9.0
202303111500,3.3,24.4,12.0,-9.0
202303111600,1.2,24.0,12.0,-9.0
202303111700,1.9,22.6,12.0,-9.0
202303111800,1.9,21.3,13.0,-9.0
202303111900,1.0,19.7,14.0,-9.0
202303112000,1.1,18.3,16.0,-9.0
202303112100,1.6,17.6,18.0,-9.0
202303112200,0.0,16.0,23.0,-9.0
202303112300,1.8,14.8,27.0,-9.0
202303120000,0.0,14.4,26.0,-9.0
202303120100,0.0,13.9,30.0,-9.0
202303120200,1.3,13.2,37.0,-9.0
202303120300,1.9,12.2,41.0,-9.0
202303120400,1.8,12.0,48.0,-9.0
202303120500,0.0,12.4,48.0,-9.0
202303120600,0.0,12.0,49.0,-9.0
202303120700,0.0,12.2,49.0,-9.0
202303120800,1.8,9.9,79.0,-9.0
202303120900,1.8,9.4,91.0,3.2
202303121000,0.7,9.7,93.0,-9.0
202303121100,2.6,9.3,90.0,-9.0
202303121200,3.2,8.1,88.0,5.9
202303121300,4.0,6.8,90.0,-9.0
202303121400,1.6,6.0,86.0,-9.0
202303121500,1.8,6.0,85.0,3.3
202303121600,3.5,5.8,81.0,-9.0
202303121700,3.1,5.4,71.0,-9.0
202303121800,3.2,5.0,57.0,0.0
202303121900,5.0,3.5,42.0,-9.0
202303122000,3.6,2.3,47.0,-9.0
202303122100,4.7,1.5,46.0,-9.0
202303122200,2.8,1.3,47.0,-9.0
202303122300,2.6,0.8,43.0,-9.0
202303130000,3.7,0.4,40.0,-9.0
202303130100,5.0,0.1,39.0,-9.0
202303130200,3.7,-0.4,35.0,-9.0
202303130300,2.7,-0.8,32.0,-9.0
202303130400,2.3,-1.5,36.0,-9.0
202303130500,2.8,-1.3,35.0,-9.0
202303130600,1.7,-1.4,34.0,-9.0
