name,start,end,duration
aewuuy,2023-05-25 01:39:14,2023-05-25 16:50:50,0 days 15:11:36
aewuuy,2023-05-26 01:21:15,2023-05-26 12:22:26,0 days 11:01:11
aewuuy,2023-05-26 12:33:27,2023-05-26 16:38:05,0 days 04:04:38
aewuuy,2023-05-26 16:42:46,2023-05-26 18:14:13,0 days 01:31:27
aewuuy,2023-05-27 02:35:27,2023-05-27 04:01:38,0 days 01:26:11
aewuuy,2023-05-27 04:49:14,2023-05-27 15:21:14,0 days 10:32:00
aewuuy,2023-05-27 16:03:27,2023-05-27 18:11:19,0 days 02:07:52
aewuuy,2023-05-27 18:30:01,2023-05-28 01:06:37,0 days 06:36:36
aewuuy,2023-05-28 02:02:45,2023-05-28 03:27:52,0 days 01:25:07
aewuuy,2023-05-28 04:00:42,2023-05-28 18:28:20,0 days 14:27:38
aewuuy,2023-05-28 18:43:43,2023-05-29 16:37:00,0 days 21:53:17
aewuuy,2023-05-30 00:59:14,2023-05-31 19:31:08,1 days 18:31:54
aewuuy,2023-05-31 23:54:56,2023-07-25 00:13:51,54 days 00:18:55
aewuuy,2023-07-25 01:32:52,2023-07-25 12:28:27,0 days 10:55:35
aewuuy,2023-07-25 12:32:31,2023-07-25 18:52:41,0 days 06:20:10
aewuuy,2023-07-26 00:51:58,2023-07-26 17:27:30,0 days 16:35:32
aewuuy,2023-07-26 17:50:18,2023-07-27 00:20:31,0 days 06:30:13
aewuuy,2023-07-27 01:33:06,2023-07-27 21:04:36,0 days 19:31:30
aewuuy,2023-07-28 00:47:00,2023-07-28 17:09:04,0 days 16:22:04
aewuuy,2023-07-28 20:22:32,2023-07-28 22:38:58,0 days 02:16:26
aewuuy,2023-07-29 03:40:57,2023-07-29 17:24:19,0 days 13:43:22
aewuuy,2023-07-29 18:34:24,2023-07-29 21:13:29,0 days 02:39:05
aewuuy,2023-07-29 23:59:50,2023-07-31 01:25:50,1 days 01:26:00
aewuuy,2023-07-31 02:03:34,2023-07-31 13:01:53,0 days 10:58:19
aewuuy,2023-07-31 13:28:17,2023-07-31 17:12:45,0 days 03:44:28
aewuuy,2023-07-31 17:21:57,2023-07-31 21:45:34,0 days 04:23:37
aewuuy,2023-08-01 00:20:07,2023-09-24 00:23:03,54 days 00:02:56
aewuuy,2023-09-24 01:00:21,2023-09-25 00:18:02,0 days 23:17:41
aewuuy,2023-09-25 02:07:06,2023-09-25 17:55:46,0 days 15:48:40
aewuuy,2023-09-26 00:49:36,2023-09-26 17:26:49,0 days 16:37:13
aewuuy,2023-09-27 00:34:18,2023-09-27 21:19:44,0 days 20:45:26
aewuuy,2023-09-27 21:25:29,2023-09-28 02:03:06,0 days 04:37:37
aewuuy,2023-09-28 02:07:22,2023-09-29 00:22:38,0 days 22:15:16
aewuuy,2023-09-29 00:35:59,2023-09-29 19:03:34,0 days 18:27:35
aewuuy,2023-09-30 01:10:36,2023-11-24 00:14:53,54 days 23:04:17
aewuuy,2023-11-24 01:06:57,2023-11-24 16:09:22,0 days 15:02:25
aewuuy,2023-11-24 19:14:15,2023-11-24 22:46:24,0 days 03:32:09
aewuuy,2023-11-25 02:56:24,2023-11-25 16:23:13,0 days 13:26:49
aewuuy,2023-11-25 19:18:48,2023-11-25 21:02:07,0 days 01:43:19
aewuuy,2023-11-26 01:02:42,2023-11-26 13:26:36,0 days 12:23:54
aewuuy,2023-11-26 13:34:41,2023-11-27 14:56:46,1 days 01:22:05
aewuuy,2023-11-27 15:32:24,2023-11-27 19:40:50,0 days 04:08:26
aewuuy,2023-11-27 23:00:12,2023-11-28 00:38:42,0 days 01:38:30
aewuuy,2023-11-28 01:34:32,2023-11-28 16:20:45,0 days 14:46:13
aewuuy,2023-11-28 20:17:41,2023-11-29 14:48:16,0 days 18:30:35
aewuuy,2023-11-29 15:34:11,2023-11-29 18:45:59,0 days 03:11:48
aewuuy,2023-11-30 01:15:18,2023-11-30 11:45:35,0 days 10:30:17
aewuuy,2023-11-30 11:51:50,2023-11-30 18:24:28,0 days 06:32:38
aewuuy,2023-11-30 20:12:09,2023-11-30 23:32:39,0 days 03:20:30
aewuuy,2023-12-01 00:16:00,2024-01-25 00:17:57,55 days 00:01:57
aewuuy,2024-01-25 01:06:35,2024-01-25 15:04:56,0 days 13:58:21
aewuuy,2024-01-25 15:25:21,2024-01-25 19:13:02,0 days 03:47:41
aewuuy,2024-01-25 20:00:10,2024-01-26 15:45:30,0 days 19:45:20
